# Time-averaged data for fix msdout
# TimeStep c_msdO[1]
100 4.63575
200 4.69282
300 4.7882
400 4.91876
500 5.08377
600 5.28198
700 5.50562
800 5.73886
900 5.96368
1000 6.16733
1100 6.34504
1200 6.49827
1300 6.63125
1400 6.74814
1500 6.85205
1600 6.94559
1700 7.03133
1800 7.1115
1900 7.18767
2000 7.26144
2100 7.33483
2200 7.40966
2300 7.48701
2400 7.56785
2500 7.65334
2600 7.74358
2700 7.8355
2800 7.92244
2900 7.9972
3000 8.05648
3100 8.10181
3200 8.13709
3300 8.16603
3400 8.19111
3500 8.21368
3600 8.23486
3700 8.25605
3800 8.27882
3900 8.30492
4000 8.33689
4100 8.37794
4200 8.4298
4300 8.49057
4400 8.55552
4500 8.6196
4600 8.67912
4700 8.73281
4800 8.7813
4900 8.82574
5000 8.86721
5100 8.90705
5200 8.9465
5300 8.98611
5400 9.02619
5500 9.06768
5600 9.11163
5700 9.15812
5800 9.20689
5900 9.25882
6000 9.31521
6100 9.37633
6200 9.44275
6300 9.51644
6400 9.59594
6500 9.67211
6600 9.73538
6700 9.78487
6800 9.82438
6900 9.85612
7000 9.88167
7100 9.90412
7200 9.92609
7300 9.94764
7400 9.9684
7500 9.9904
7600 10.0167
7700 10.0484
7800 10.0853
7900 10.1291
8000 10.18
8100 10.2314
8200 10.275
8300 10.3102
8400 10.3402
8500 10.3646
8600 10.383
8700 10.3983
8800 10.4137
8900 10.4285
9000 10.4403
9100 10.4506
9200 10.4619
9300 10.473
9400 10.481
9500 10.4871
9600 10.4937
9700 10.4994
9800 10.5012
9900 10.5001
10000 10.499
10100 10.4967
10200 10.4914
10300 10.4848
10400 10.4798
10500 10.4756
10600 10.4704
10700 10.465
10800 10.4606
10900 10.4567
11000 10.4515
11100 10.4451
11200 10.4386
11300 10.4306
11400 10.4184
11500 10.4009
11600 10.3801
11700 10.357
11800 10.332
11900 10.308
12000 10.2876
12100 10.2702
12200 10.2541
12300 10.2391
12400 10.2255
12500 10.2126
12600 10.1994
12700 10.1859
12800 10.1726
12900 10.1592
13000 10.1451
13100 10.1306
13200 10.1163
13300 10.1022
13400 10.0884
13500 10.0752
13600 10.0631
13700 10.0521
13800 10.0424
13900 10.034
14000 10.0268
14100 10.021
14200 10.0169
14300 10.0143
14400 10.0125
14500 10.0111
14600 10.01
14700 10.0091
14800 10.0083
14900 10.0073
15000 10.0064
15100 10.0055
15200 10.0043
15300 10.0029
