,name,gas,pressure,temp,cutoff,path,Average loading absolute [mol/kg framework],Average loading excess [mol/kg framework],Average loading absolute [molecules/unit cell],Average loading excess [molecules/unit cell]
0,[CoreMOF]DITYEM_clean,CO2,1.0,293.15,14.0,[CoreMOF]DITYEM_clean_CO2_293.15K_1.0bar_14.0/Output/System_0,0.2316442116,0.2316442116,0.1738885417,0.1738885417
1,[CoreMOF]XOPLOE_clean,CO2,1.0,293.15,14.0,[CoreMOF]XOPLOE_clean_CO2_293.15K_1.0bar_14.0/Output/System_0,2.0484092233,2.0484092233,5.23994375,5.23994375
2,[CoreMOF]XALCUJ_clean,CO2,1.0,293.15,14.0,[CoreMOF]XALCUJ_clean_CO2_293.15K_1.0bar_14.0/Output/System_0,1.7172162152,1.7172162152,14.985975,14.985975
3,[CoreMOF]XADDEN_manual,CO2,1.0,293.15,14.0,[CoreMOF]XADDEN_manual_CO2_293.15K_1.0bar_14.0/Output/System_0,1.7918076837,1.7918076837,4.33525625,4.33525625
4,[CoreMOF]QAVPIO_clean,CO2,1.0,293.15,14.0,[CoreMOF]QAVPIO_clean_CO2_293.15K_1.0bar_14.0/Output/System_0,3.5817346874,3.5817346874,2.0873743056,2.0873743056
5,[CoreMOF]NAHHAI_clean,CO2,1.0,293.15,14.0,[CoreMOF]NAHHAI_clean_CO2_293.15K_1.0bar_14.0/Output/System_0,1.7288344371,1.7288344371,1.6319069444,1.6319069444
6,[CoreMOF]ZOFZUR_clean,CO2,1.0,293.15,14.0,[CoreMOF]ZOFZUR_clean_CO2_293.15K_1.0bar_14.0/Output/System_0,1.7799235613,1.7799235613,17.7896,17.7896
7,[CoreMOF]c6cc00589f_c6cc00589f2_clean,CO2,1.0,293.15,14.0,[CoreMOF]c6cc00589f_c6cc00589f2_clean_CO2_293.15K_1.0bar_14.0/Output/System_0,1.1000626083,1.1000626083,3.13650625,3.13650625
8,[CoreMOF]XEXMEU_clean,CO2,1.0,293.15,14.0,[CoreMOF]XEXMEU_clean_CO2_293.15K_1.0bar_14.0/Output/System_0,1.472376103,1.472376103,2.50708,2.50708
9,[CoreMOF]TOFTIT_clean,CO2,1.0,293.15,14.0,[CoreMOF]TOFTIT_clean_CO2_293.15K_1.0bar_14.0/Output/System_0,1.595998139,1.595998139,12.808975,12.808975
10,[CoreMOF]DITYEM_clean,CO2,5.0,293.15,14.0,[CoreMOF]DITYEM_clean_CO2_293.15K_5.0bar_14.0/Output/System_0,0.5535521378,0.5535521378,0.4155354167,0.4155354167
11,[CoreMOF]XOPLOE_clean,CO2,5.0,293.15,14.0,[CoreMOF]XOPLOE_clean_CO2_293.15K_5.0bar_14.0/Output/System_0,6.4073359759,6.4073359759,16.39031875,16.39031875
12,[CoreMOF]XALCUJ_clean,CO2,5.0,293.15,14.0,[CoreMOF]XALCUJ_clean_CO2_293.15K_5.0bar_14.0/Output/System_0,3.6045271858,3.6045271858,31.45635,31.45635
13,[CoreMOF]XADDEN_manual,CO2,5.0,293.15,14.0,[CoreMOF]XADDEN_manual_CO2_293.15K_5.0bar_14.0/Output/System_0,6.6707619529,6.6707619529,16.139825,16.139825
14,[CoreMOF]QAVPIO_clean,CO2,5.0,293.15,14.0,[CoreMOF]QAVPIO_clean_CO2_293.15K_5.0bar_14.0/Output/System_0,4.0173575254,4.0173575254,2.3412479167,2.3412479167
15,[CoreMOF]NAHHAI_clean,CO2,5.0,293.15,14.0,[CoreMOF]NAHHAI_clean_CO2_293.15K_5.0bar_14.0/Output/System_0,3.5002506771,3.5002506771,3.3040083333,3.3040083333
16,[CoreMOF]ZOFZUR_clean,CO2,5.0,293.15,14.0,[CoreMOF]ZOFZUR_clean_CO2_293.15K_5.0bar_14.0/Output/System_0,7.3773387209,7.3773387209,73.73345,73.73345
17,[CoreMOF]c6cc00589f_c6cc00589f2_clean,CO2,5.0,293.15,14.0,[CoreMOF]c6cc00589f_c6cc00589f2_clean_CO2_293.15K_5.0bar_14.0/Output/System_0,5.6954891522,5.6954891522,16.23901875,16.23901875
18,[CoreMOF]XEXMEU_clean,CO2,5.0,293.15,14.0,[CoreMOF]XEXMEU_clean_CO2_293.15K_5.0bar_14.0/Output/System_0,5.5947434761,5.5947434761,9.5264175,9.5264175
19,[CoreMOF]TOFTIT_clean,CO2,5.0,293.15,14.0,[CoreMOF]TOFTIT_clean_CO2_293.15K_5.0bar_14.0/Output/System_0,7.3987940482,7.3987940482,59.380375,59.380375
